Specialty Chemicals,Gold,Copper,Building Materials,Steel,Agricultural Inputs,Chemicals,Other Industrial Metals & Mining,Lumber & Wood Production,Aluminum,Other Precious Metals & Mining,Coking Coal,Paper & Paper Products
LIN,NEM,SCCO,CRH,NUE,CTVA,DOW,MP,SSD,AA,HL,HCC,SLVM
SHW,AU,FCX,MLM,STLD,CF,CE,MTRN,UFPI,CSTM,GATO,AMR,MERC
ECL,RGLD,IE,VMC,RS,MOS,OLN,NEXA,,CENX,MUX,ARCH,CLW
APD,CDE,MTAL,EXP,X,FMC,HUN,CRML,,KALU,ACRG,SXC,
DD,SA,,SUM,CMC,SMG,TROX,LZM,,,,METC,
LYB,CMCL,,BCC,CLF,UAN,VHI,CMP,,,,,
PPG,CTGO,,KNF,WS,BIOX,GPRE,PLL,,,,,
IFF,IDR,,TGLS,MTUS,IPI,ASIX,USGO,,,,,
WLK,FTCO,,USLM,RDUS,AVD,REX,ATLX,,,,,
RPM,USAU,,SMID,ZEUS,BHIL,WLKP,,,,,,
EMN,,,BSND,USAP,,LXU,,,,,,
ALB,,,,MSB,,RYAM,,,,,,
AXTA,,,,FRD,,PLYR,,,,,,
ESI,,,,ACNT,,ADKIL,,,,,,
CBT,,,,,,,,,,,,
BCPC,,,,,,,,,,,,
NEU,,,,,,,,,,,,
AVNT,,,,,,,,,,,,
KDSKF,,,,,,,,,,,,
FUL,,,,,,,,,,,,
ASH,,,,,,,,,,,,
WDFC,,,,,,,,,,,,
SXT,,,,,,,,,,,,
CC,,,,,,,,,,,,
KWR,,,,,,,,,,,,
IOSP,,,,,,,,,,,,
HWKN,,,,,,,,,,,,
MTX,,,,,,,,,,,,
PRM,,,,,,,,,,,,
SCL,,,,,,,,,,,,
KRO,,,,,,,,,,,,
NGVT,,,,,,,,,,,,
OEC,,,,,,,,,,,,
MATV,,,,,,,,,,,,
ECVT,,,,,,,,,,,,
KOP,,,,,,,,,,,,
ODC,,,,,,,,,,,,
HDSN,,,,,,,,,,,,
FF,,,,,,,,,,,,
TSE,,,,,,,,,,,,
CMT,,,,,,,,,,,,
NTIC,,,,,,,,,,,,
FAME,,,,,,,,,,,,
KOGL,,,,,,,,,,,,
