Discount Stores,Beverages - Non-Alcoholic,Household & Personal Products,Packaged Foods,Tobacco,Confectioners,Farm Products,Food Distribution,Grocery Stores,Beverages - Brewers,Education & Training Services,Beverages - Wineries & Distilleries
WMT,KO,PG,KHC,PM,MDLZ,ADM,SYY,KR,STZ,COUR,BF-B
COST,PEP,CL,GIS,MO,HSY,TSN,USFD,SFM,TAP,UTI,MGPI
TGT,KDP,KMB,K,VGR,TR,BG,PFGC,ACI,SAM,UDMY,NAPA
DG,MNST,KVUE,MKC,UVV,,CALM,ANDE,DNUT,,LAUR,CWGL
DLTR,COKE,EL,HRL,TPB,,IDBHF,CHEF,WMK,,FC,
BJ,CELH,CHD,CPB,ISPR,,VITL,UNFI,GO,,AFYA,
OLLI,FIZZ,CLX,CAG,,,DOLE,AVO,IMKTA,,STRA,
TBBB,COCO,COTY,SJM,,,FDP,SPTN,NGVC,,GHC,
PSMT,,ELF,PPC,,,AGRO,CVGW,VLGEA,,ATGE,
,,HIMS,LW,,,LMNR,WILC,,,LOPE,
,,IPAR,INGR,,,AFRI,DIT,,,LRN,
,,NWL,BRBR,,,ALCO,MTEX,,,PRDO,
,,SPB,FRPT,,,STNT,,,,SKIL,
,,EPC,POST,,,CAOX,,,,LINC,
,,HELE,DAR,,,,,,,APEI,
,,EWCZ,LANC,,,,,,,LGCY,
,,NUS,FLO,,,,,,,,
,,ACU,SMPL,,,,,,,,
,,UG,JJSF,,,,,,,,
,,NASO,NOMD,,,,,,,,
,,NASOD,THS,,,,,,,,
,,,CENT,,,,,,,,
,,,KLG,,,,,,,,
,,,UTZ,,,,,,,,
,,,JBSS,,,,,,,,
,,,HAIN,,,,,,,,
,,,HLF,,,,,,,,
,,,USNA,,,,,,,,
,,,BGS,,,,,,,,
,,,WEST,,,,,,,,
,,,SENEA,,,,,,,,
,,,BYND,,,,,,,,
,,,LWAY,,,,,,,,
,,,MAMA,,,,,,,,
,,,CUSI,,,,,,,,
,,,NATR,,,,,,,,
,,,AMNF,,,,,,,,
,,,FTLF,,,,,,,,
,,,LFVN,,,,,,,,
,,,BRLS,,,,,,,,
,,,SOWG,,,,,,,,
,,,BRID,,,,,,,,
,,,HNFSA,,,,,,,,
,,,LSF,,,,,,,,
,,,CLNN,,,,,,,,
,,,DZGH,,,,,,,,
,,,FLLZ,,,,,,,,
