Oil & Gas Integrated,Oil & Gas E&P,Oil & Gas Midstream,Oil & Gas Equipment & Services,Oil & Gas Refining & Marketing,Uranium,Oil & Gas Drilling,Thermal Coal
XOM,COP,EPD,TXGE,MPC,UEC,NE,BTU
CVX,EOG,WMB,SLB,PSX,LEU,HP,ARLP
SWN,FANG,ET,BKR,VLO,,PTEN,CEIX
NFG,OXY,OKE,HAL,DINO,,SDRL,NRP
CRGY,HES,KMI,FTI,SUN,,SOC,HNRG
UNTC,DVN,MPLX,WFRD,IEP,,NBR,NC
,TPL,LNG,NOV,PBF,,VTDRF,
,EQT,TRGP,CHX,CVI,,JSTS,
,CTRA,CQP,WHD,DKL,,,
,MRO,WES,VAL,WKC,,,
,PR,PAA,AROC,DK,,,
,OVV,VNOM,TDW,PARR,,,
,CHK,HESM,LBRT,CAPL,,,
,APA,DTM,AESI,SGU,,,
,AR,AM,LB,AE,,,
,CHRD,ENLC,USAC,LCNTU,,,
,RRC,FRO,KGS,,,,
,MTDR,PAGP,OII,,,,
,MUR,GLNG,XPRO,,,,
,CIVI,STNG,HLX,,,,
,MGY,KNTK,RES,,,,
,SM,INSW,WTTR,,,,
,CNX,EE,ACDC,,,,
,CRC,TNK,MRC,,,,
,NOG,DHT,INVX,,,,
,CRK,GEL,VTOL,,,,
,STR,GLP,CLB,,,,
,BSM,LPG,PUMP,,,,
,GPOR,NVGS,NR,,,,
,TALO,SBR,SEI,,,,
,HPK,TK,OIS,,,,
,CLMT,TEN,RNGR,,,,
,MNR,PBT,NGS,,,,
,KRP,SMC,PKDC,,,,
,BKV,PXS,FET,,,,
,NEXT,TOPS,FTK,,,,
,DMLP,,GEOS,,,,
,VTLE,,KLXE,,,,
,GRNT,,NCSM,,,,
,VTS,,CTNR,,,,
,TXO,,,,,,
,EGY,,,,,,
,REPX,,,,,,
,GFR,,,,,,
,SD,,,,,,
,GPRK,,,,,,
,BRY,,,,,,
,AMPY,,,,,,
,TBN,,,,,,
,PNRG,,,,,,
,EPM,,,,,,
,EXCE,,,,,,
,EP,,,,,,
,EPSN,,,,,,
,MVO,,,,,,
,BATL,,,,,,
,VOC,,,,,,
,CRT,,,,,,
,INDO,,,,,,
,NRT,,,,,,
,CKX,,,,,,
,MXC,,,,,,
,MTR,,,,,,
,TRKX,,,,,,
,EXE,,,,,,
,TTYP,,,,,,
