REIT Industrial,Real Estate Development,REIT Specailty,REIT Retail,REIT Residential,REIT Healthcare Facilities,Real Estate Services,REIT Office,REIT Diversified,REIT Mortgage,REIT Hotel & Motel,Real Estate Diversified
PLD,CCS,AMT,SPG,AVB,WELL,CBRE,ARE,VICI,NLY,HST,HHH
PSA,SDHC,EQIX,O,EQR,VTR,CSGP,BXP,WPC,AGNC,RHP,JOE
EXR,FOR,DLR,KIM,INVH,DOC,JLL,VNO,EPRT,STWD,APLE,STRS
LINE,MRNO,CCI,REG,ESS,OHI,HASI,KRC,BNL,RITM,PK,CHCI
CUBE,LSEA,IRM,FRT,MAA,HR,NMRK,SLG,ESRT,BXMT,SHO,HOOB
REXR,LPA,SBAC,NNN,SUI,CTRE,COMP,CUZ,AAT,ABR,DRH,
EGP,OZ,WY,BRX,UDR,SBRA,CWK,CDP,GNL,LADR,XHR,
COLD,AXR,GLPI,ADC,AMH,AHR,DBRG,DEI,SAFE,TWO,PEB,
FR,,LAMR,KRG,ELS,NHI,EXPI,HIW,AHH,MFA,RLJ,
STAG,,RYN,PECO,CPT,MPW,KW,ESBA,GOOD,PMT,INN,
TRNO,,EPR,MAC,SZRRF,LTC,MMI,EQC,OLP,CIM,CLDT,
NSA,,PCH,SKT,IRT,GRAH,RDFN,JBGS,CTO,RC,,
IIPR,,OUT,UE,NXRT,SILA,REAX,DEA,NXDT,ARI,,
LXP,,UNIT,FCPT,VRE,STRW,FRPH,PDM,MDRR,EFC,,
PLYM,,FPI,AKR,ELME,GMRE,HOUS,BDN,FVR,FBRT,,
MDV,,LAND,IVT,UMH,UHT,MLP,PKST,,RWT,,
,,NLCP,ROIC,AIV,CHCT,RMR,NLOP,,ARR,,
,,AFCG,GTY,CSR,,RMAX,PSTL,,CMTG,,
,,SELF,BFS,BRT,,ARL,CIO,,DX,,
,,,ALEX,CLPR,,TCI,,,KREF,,
,,,NTST,BHM,,STHO,,,BRSP,,
,,,ALX,,,SEG,,,TRTX,,
,,,SITC,,,CPTP,,,ORC,,
,,,CBL,,,NYC,,,NYMT,,
,,,WSR,,,GYRO,,,IVR,,
