Utilities - Regulated Electric,Utilities - Renewable,Utilities - Diversified,Utilities - Regulated Gas,Utilities - Independent Power Producers,Utilities - Regulated Water
NEE,CEG,SRE,ATO,VST,AWK
SO,GEV,AES,NI,NRG,WTRG
DUK,CWEN-A,ALE,SWX,TLN,AWR
AEP,ORA,OTTR,UGI,KEN,CWT
PCG,FLNC,AVA,NJR,,SJW
D,AY,UTL,BKH,,MSEX
PEG,NEP,MNTK,OGS,,ARIS
EXC,RNW,,SR,,YORW
XEL,ELLO,,CPK,,CWCO
ED,,,NFE,,ARTNA
EIX,,,NWN,,GWRS
WEC,,,CTRI,,PCYO
ETR,,,SPH,,
DTE,,,RGCO,,
FE,,,,,
PPL,,,,,
AEE,,,,,
ES,,,,,
CMS,,,,,
CNP,,,,,
LNT,,,,,
AGR,,,,,
EVRG,,,,,
PNW,,,,,
OGE,,,,,
IDA,,,,,
POR,,,,,
TXNM,,,,,
NWE,,,,,
MGEE,,,,,
HE,,,,,
OKLO,,,,,
GNE,,,,,
MCPB,,,,,
