Technology,Healthcare,Financial Services,Consumer Cyclical,Communication Services,Consumer Defensive,Energy,Basic Materials,Real Estate,Utilities,Industrials
Semiconductors,Drug Manufacturers - General,Banks - Diversified,Internet Retail,Internet Content & Information,Discount Stores,Oil & Gas Integrated,Specialty Chemicals,REIT - Specialty,Utilities - Regulated Electric,Aerospace & Defense
Software - Infrastructure,Healthcare Plans,Credit Services,Auto Manufacturers,Telecom Services,Beverages - Non-Alcoholic,Oil & Gas Midstream,Gold,REIT - Industrial,Utilities - Renewable,Railroads
Consumer Electronics,Medical Devices,Asset Management,Restaurants,Entertainment,Household & Personal Products,Oil & Gas E&P,Copper,REIT - Retail,Utilities - Diversified,Farm  & Heavy Construction Machinery
Software - Application,Diagnostics & Research,Insurance - Diversified,Home Improvement Retail,Electronic Gaming & Multimedia,Packaged Foods,Oil & Gas Equipment & Services,Building Materials,REIT - Residential,Utilities - Independent Power Producers,Specailty Industrial Machinery
Information Technology Services,Biotechnology,Banks - Regional,Travel Services,Advertising Agencies,Tobacco,Oil & Gas Refining & Marketing,Steel,REIT - Healthcare Facilities,Utilities - Regulated Gas,Building Products & Equipment
Semiconductor Equipment & Materials,Medical Instruments & Supplies,Capital Markets,Specialty Retail,Publishing,Confectioners,Uranium,Agricultural Inputs,Real Estate Services,Utilities - Regulated Water,Specailty Business Services
Communication Equipment,Medical Care Facilities,Financial Data & Stock Exchanges,Apparel Retail,Broadcasting,Farm Products,Oil & Gas Drilling,Chemicals,REIT - Office,,Integrated Freight & Logistics
Computer Hardware,Drug Manufacturers - Specialty & Generic,Insurance - Property & Casualty,Residential Construction,,Food Distribution,Thermal Coal,Other Industrial Metals & Mining,REIT - Diversified,,Waste Management
Electronic Components,Health Information Services,Insurance Brokers,Footwear & Accessories,,Grocery Stores,,Lumber & Wood Production,REIT - Mortgage,,Conglomerates
Scientific & Technical Instruments,Medical Distribution,Insurance - Life,Packaging & Containers,,Beverages - Brewers,,Aluminum,REIT - Hotel & Motel,,Engineering & Construction
Solar,Pharmaceutical Retailers,Insurance - Specialty,Lodging,,Education & Training Services,,Other Precious Metals & Mining,Real Estate - Development,,Industrial Distribution
Electronics & Computer Distribution,,Mortgage Finance,Auto Parts,,Beverages - Wineries & Distilleries,,Coking Coal,Real Estate - Diversified,,Rental & Leasing Services
,,Insurance - Reinsurance,Auto & Truck Dealerships,,,,Silver,,,Electrical Equipment & Parts
,,Shell Companies,Resorts & Casinos,,,,Paper & Paper Products,,,Consulting Services
,,Financial Conglomerates,Gambling,,,,,,,Trucking
,,,Leisure,,,,,,,Airlines
,,,Apparel Manufacturing,,,,,,,Tools & Accessories
,,,"Furnishings, Fixtures & Appliances",,,,,,,Pollution & Treatment Controls
,,,Personal Services,,,,,,,Security & Protection Services
,,,Recreational Vehicles,,,,,,,Marine Shipping
,,,Luxury Goods,,,,,,,Metal Fabrication
,,,Department Stores,,,,,,,Infrastructure Operations
,,,Textile Manufacturing,,,,,,,Staffing & Employment Services
,,,,,,,,,,Airports & Air Services
,,,,,,,,,,Business Equipment & Supplies
